,Ids,Surface_dice_1,Surface_dice_2,Surface_dice_3
0,Patient_105914,0.5923037893661236,0.7828876897562821,0.8993930132171216
0,582_19_4,0.7713919395429493,0.89558205263782,0.9506142321556643
0,1029_18_4,0.4520514378077194,0.6642695417844868,0.8257132510048174
0,454_19,0.4250765828857594,0.6370825413878027,0.8128042201459258
0,Patient_24117,0.7629846951683931,0.9149702193209938,0.9681638962579203
0,Patient_15215,0.2034084431677749,0.45131703180387167,0.767985732385125
0,423_18,0.6768525021361341,0.8530018370487203,0.9411837861676456
0,1159_18_4,0.7435731176575004,0.8800377885380173,0.9464422813984267
0,Patient_127515,0.4854842665020709,0.6892959479382754,0.8533090092147202
0,608_18_4,0.6106673665807829,0.7788841316257239,0.8724520844802518
0,Patient_108314,0.31949903452304906,0.4560601358700472,0.5866544588321267
0,Patient_1000314,0.25831438477862717,0.4116670161977482,0.5690574335195275
0,1746_18_4,0.7370393029060099,0.8601940960118953,0.9277116673233717
0,1799_18,0.7072508543198875,0.8538723055914209,0.9169679592502019
0,746_19_4,0.7650878833161964,0.9282337971443348,0.9853428098484084
0,971_18_4,0.7346055966240365,0.8744095773343148,0.947880159943023
0,Patient_104316,0.33981714271247665,0.4691309506802575,0.5662585481992181
0,Patient_129415,0.11428525609115105,0.19698104865660251,0.3362699335950745
0,Patient_30614,0.6632921896432821,0.8256279349472928,0.9183124583616976
0,Patient_144116,0.6481098201891093,0.8382054616522234,0.9448320257822311
0,204_19_4,0.41255195853447424,0.5914168513647524,0.737688800439123
0,1258_18,0.7826899637914156,0.9443951110309355,0.9959819760707582
0,Patient_40714,0.5748962229549058,0.7557557549325372,0.8880578906488309
0,409_19_4,0.49394334338540824,0.6637798469116446,0.8192148983136177
0,142_19_4,0.5431207348114964,0.7062154231067798,0.8281783329919449
0,Patient_158716,0.3356206424988975,0.46381141186681646,0.5736693563620504
0,688_18,0.5956947150903927,0.8334009333559778,0.9628984184701953
0,214_17,0.43348912591687866,0.5963039995320185,0.7691159788929096
0,Patient_108816,0.5443930364369869,0.7389609306981413,0.8688547033710712
0,1034_18_4,0.6529920262260673,0.8156873884544421,0.9045562038828765
0,Patient_113016,0.4531417979927467,0.643220351429129,0.8007514096478656
0,558_18_4,0.7797761370751516,0.9142484600443328,0.9659179179560033
0,1702_18,0.6123048910872683,0.7998451507948676,0.9136562916251102
0,Patient_133916,0.3497691127896333,0.5061781624024504,0.6433569523766778
0,1668_18_4,0.5128564069846877,0.6412820039670583,0.7496319689366748
0,1275_19_4,0.6107776560364429,0.7717464894172801,0.8666277515830562
0,518_19,0.5596479775609422,0.7281709985249578,0.8404891783178657
0,18_19_4,0.5901268245646747,0.7665342575343744,0.8571434552483445
0,660_18_4,0.4857832071505854,0.6777430088386112,0.8066332511307841
0,423_19,0.5639907252127334,0.7340741286651393,0.8479473708405092
0,Patient_65516,0.2773025053071176,0.41560750969081967,0.5597275153113905
